   30   62  128  162  227  261  326  361
    5   78  105  178  205  278  305  378
    8   78  109  179  211  280  312  381
    0   61  100  162  200  264  301  365
    3   73  103  173  203  273  303  373
   36   84  135  185  234  286  333  387
   30   77  132  178  233  278  335  378
   48   79  147  179  247  278  346  378
   48   90  147  192  246  294  345  396
   39   66  139  167  240  268  341  368
   17   96  117  196  217  296  317  396
   11   60  109  157  207  254  305  351
   41   42   63  145  162  248  249  261
   40   71  141  171  241  271  341  371
   48   64  148  164  249  264  349  364
   44   81  144  181  244  281  344  381
   21   74  122  174  223  224  275  376
    0   82  100  182  200  282  300  381
    7   94  107  194  207  294  307  394
    2   86  102  186  203  286  303  386
   31   32   52   53  140  141  162  163
   39   87  139  188  240  288  340  388
   31   59  131  157  232  256  332  354
   49   86  148  185  248  284  347  383
   41   96  141  196  241  296  342  396
   45   65  146  165  246  265  346  364
   41   93  140  193  239  293  338  393
    7   57   58  110  155  213  252  316
   40   86  139  188  238  290  337  392
   14   65  114  165  214  265  314  365
   38   84  138  184  238  284  338  384
   37   96  138  197  238  298  339  398
   13   70  114  170  214  269  315  369
   38   96  138  196  238  296  338  395
   11   87  109  189  208  290  306  392
   28   29   70  137  138  169  246  268
   47   76  147  176  247  276  347  376
